SRX7262452	hg38	ATAC-Seq	ATAC-Seq	Others	Bladder cancer	NA	46067636,63.6,22.9,35670	GSM4201674: ATAC-seq from Luminal2/BMP k.o CAF; Homo sapiens; ATAC-seq	source_name=Human bladder tumor organoid	subtype=luminal	tissue=Bladder tumor	passages=7-10	genotype=wild type	description=BMP4, 5 were knocked out in surrounding reconstituted CAF
SRX14225874	hg38	ATAC-Seq	ATAC-Seq	Blood	Natural killer cells	NA	826679787,0.0,24.2,90929	GSM5906758: ATAC CMVpos1 CMVpos3 CMVpos4 CMVneg1; Homo sapiens; ATAC-seq	source_name=primary NK cells	tissue=Peripheral Blood	donor id=P1, P3, P4, N1
SRX14276748	hg38	ATAC-Seq	ATAC-Seq	Blood	OCI-AML3	Primary Tissue=Blood|Tissue Diagnosis=Leukemia Acute Myelogenous	40956720,39.1,31.1,17600	GSM5915187: ATAC-Seq OCI-AML3 NPM1c degron2 cell line treated with 500nM dTag-13 rep1; Homo sapiens; ATAC-seq	source_name=OCI-AML3 NPM1c degron2 cell line	drug treatment=500nM dTag-13 treated OCI-AML3 NPM1c-degron2 cells
SRX14286740	hg38	ATAC-Seq	ATAC-Seq	Lung	NCI-H526	Primary Tissue=Lung|Tissue Diagnosis=Carcinoma Small Cell	26862858,50.9,21.5,6200	GSM5917241: ATAC sgC11orf53-2; Homo sapiens; ATAC-seq	source_name=NCI-H526	cell type=small cell lung cancer	passages=Low passages (6-10)	strain=ATAC_sgC11orf53-2	genotype=C11orf53 depleted cells
SRX14659719	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	Smooth muscle cells	NA	30016762,49.0,0.0,0	GSM5964147: Smooth muscle cell - D80 Quiescent; Homo sapiens; ATAC-seq	source_name=Smooth Muscle Cell	tissue=ascending aorta	treatment=Quiescent
SRX14418916	hg38	ATAC-Seq	ATAC-Seq	Blood	Monocytes-CD14+	Tissue=monocytes|Lineage=mesoderm|Description=Monocytes-CD14+ are CD14-positive cells from human leukapheresis production, from donor RO 01746 (draw 1 ID is RO 01746, draw 2 ID is RO 01826), newly promoted to tier 2: not in 2011 analysis	166047917,92.6,83.6,10679	GSM5942327: AGER012; Homo sapiens; ATAC-seq	source_name=PBMC	cell type=Monocytes CD14+	disease state=Covid19: Acute infection
SRX14801937	hg38	ATAC-Seq	ATAC-Seq	Kidney	Kidney	MeSH Description=Body organ that filters blood for the secretion of URINE and that regulates ion concentrations.	170234176,97.0,5.0,0	GSM6037591: Human-Kidney-snATAC-seq Sample 4, snATAC-seq; Homo sapiens; ATAC-seq	source_name=Kidney	tissue=Kidney	gender=female	age=65 years old	race=White
SRX15168460	hg38	ATAC-Seq	ATAC-Seq	Blood	Plasmacytoid dendritic cells	NA	83303722,91.2,10.9,75408	GSM6108542: pDC,CXCL4,6h,Donor1; Homo sapiens; ATAC-seq	source_name=blood	tissue=blood	cell type=pDC	genotype=Healthy Donor	treatment=CXCL4
SRX15210838	hg38	ATAC-Seq	ATAC-Seq	Pancreas	PANC-1	Tissue=Pancreas/Duct|Disease=Epithelioid Carcinoma	43720112,98.6,9.6,39639	GSM6124079: BW10s4 PANC1 R1 4-SIK3-100-24h1; Homo sapiens; ATAC-seq	source_name=PANC1 cell line	cell line=PANC1	timepoint=24h	condition=100 TNF	knockdown=siSIK3
SRX15222235	hg38	ATAC-Seq	ATAC-Seq	Neural	SH-SY5Y	Primary Tissue=Brain|Tissue Diagnosis=Neuroblastoma	26691599,97.1,15.0,67742	GSM6126063: SHSY5Y ASCL1 KO2 rep4; Homo sapiens; ATAC-seq	source_name=SHSY5Y	cell type=neuroblastoma cell line	cell line=SHSY5Y	genotype=ASCL1 KO2
SRX15231476	hg38	ATAC-Seq	ATAC-Seq	Neural	BE(2)-C	Primary Tissue=Brain|Site of Extraction=Bone Marrow|Tissue Diagnosis=Neuroblastoma	10464308,99.3,4.3,35562	GSM6131579: BE2C-HDAC2-dTAG, ATAC-seq, dTAG-13 (500 nM), 24 h, biol rep 3; Homo sapiens; ATAC-seq	source_name=BE(2)-C	cell line=BE(2)-C	cell type=Neuroblastoma	agent=dTAG-13 (500 nM)	time point=24 h
SRX15241256	hg38	ATAC-Seq	ATAC-Seq	Neural	SK-N-BE(2)	Primary Tissue=Brain|Site of Extraction=Bone Marrow|Tissue Diagnosis=Neuroblastoma	49569537,55.5,12.0,6799	GSM6133911: SK-N-BE(2)C cells, sgSNHG1 rep1 (ATAC-seq); Homo sapiens; ATAC-seq	source_name=SK-N-BE(2)C	cell line=SK-N-BE(2)C	treatment=SNHG1 gRNA	cell type=neuroblastoma	genotype=SNHG1 knockout
SRX15289706	hg38	ATAC-Seq	ATAC-Seq	Blood	B-cell (CD19+)	Tissue=Blood|Lineage=primaryCells|Description=B Cell , CD19+	14424432,90.2,23.3,18776	GSM6156966: ATAC p69 d7 Tbet agg; Homo sapiens; ATAC-seq	source_name=FCRL5 positive HA- IgD neg B cell	donor id=69	sorting markers=IgDneg CD38 lo/med CD19+ CD3 neg CD4 neg	h1 tetramer=negative	tissue=PBMC	cell type=FCRL5 positive HA- IgD neg B cell	days post influenza pr8 infection=7
SRX15409156	hg38	ATAC-Seq	ATAC-Seq	Others	16HBE14o-	NA	79274908,81.4,26.6,65911	GSM6176311: 16HBE14o- ins-35kb #16 rep 2; Homo sapiens; ATAC-seq	source_name=16HBE14o-	cell line=16HBE14o-	cell type=human bronchial epithelial cells	genotype=ins-35kb #16
SRX15597007	hg38	ATAC-Seq	ATAC-Seq	Uterus	Endometrial stromal cells	NA	226464317,89.7,36.4,162824	GSM6213336: P1-siNT-Dec-ATAC; Homo sapiens; ATAC-seq	source_name=Primary human endometrial stromal cells	cell type=Primary human endometrial stromal cells	sirna treatment=siNT	hormone treatment=EPC	geo_loc_name=missing	collection_date=missing
SRX15663472	hg38	ATAC-Seq	ATAC-Seq	Neural	Microglia	MeSH Description=The third type of glial cell, along with astrocytes and oligodendrocytes (which together form the macroglia). Microglia vary in appearance depending on developmental stage, functional state, and anatomical location; subtype terms include ramified, perivascular, ameboid, resting, and activated. Microglia clearly are capable of phagocytosis and play an important role in a wide spectrum of neuropathologies. They have also been suggested to act in several other roles including in secretion (e.g., of cytokines and neural growth factors), in immunological processing (e.g., antigen presentation), and in central nervous system development and remodeling.	142799929,91.7,76.3,5122	GSM6229668: Microglia eGFP-mKO2+ (Latent) rep2; Homo sapiens; ATAC-seq	source_name=Microglia	cell line=C20	population=eGFP-mKO2+ (Latently infected)	infection=HIVGKO reporter virus
SRX15913420	hg38	ATAC-Seq	ATAC-Seq	Neural	U87-T	NA	39191488,91.1,21.1,114121	GSM6268807: ATAC: ATRX KO, Etoposide treated, replicate 1; Homo sapiens; ATAC-seq	source_name=U87T cell line	cell line=U87T cell line	genotype=ATRX_KO	treatment=Etoposide	replicate=1
SRX15960927	hg38	ATAC-Seq	ATAC-Seq	Epidermis	Epidermis	MeSH Description=The external, nonvascular layer of the skin. It is made up, from within outward, of five layers of EPITHELIUM: (1) basal layer (stratum basale epidermidis); (2) spinous layer (stratum spinosum epidermidis); (3) granular layer (stratum granulosum epidermidis); (4) clear layer (stratum lucidum epidermidis); and (5) horny layer (stratum corneum epidermidis).	561111326,41.9,0.0,0	GSM6284669: Epidermis multiome S1 ATAC; Homo sapiens; ATAC-seq	source_name=Healthy epidermis	tissue=Healthy epidermis	age=72 y/o
SRX16120032	hg38	ATAC-Seq	ATAC-Seq	Digestive tract	Colonic Polyps	MeSH Description=Discrete tissue masses that protrude into the lumen of the COLON. These POLYPS are connected to the wall of the colon either by a stalk, pedunculus, or by a broad base.	78502155,98.2,20.7,68758	GSM6326105: A015C004 [ATAC-Seq]; Homo sapiens; ATAC-seq	source_name=colon	tissue=colon	Stage=Polyp	donor=A015
SRX16253179	hg38	ATAC-Seq	ATAC-Seq	Blood	Blood	MeSH Description=The body fluid that circulates in the vascular system (BLOOD VESSELS). Whole blood includes PLASMA and BLOOD CELLS.	25860827,0.0,0.0,0	ATAC-seq of adult healthy control 22	library_ID=49	title=ATAC-seq of adult healthy control_22	isolate=B cells were resuspended in lysis buffer and incubated with a transposase reaction mix. After subsequent DNA purification, samples were sent to CEMM in Vienna for further processing.	age=47	biomaterial_provider=AG Grimbacher, Breisacher Strasse 115, 79106 Freiburg	sex=female	tissue=blood	library_strategy=ATAC-seq	library_source=GENOMIC	library_selection=other	library_layout=paired	platform=ILLUMINA	instrument_model=Illumina HiSeq 4000	design_description=B cells were resuspended in lysis buffer and incubated with a transposase reaction mix. After subsequent DNA purification, samples were sent to CEMM in Vienna for further processing. Files are trimmed and aligned to hg38 using Bowtie2.	filetype=bam	filename=HD22_stim_naive_Bcell.bam	assembly=GRCh38/hg38
SRX16248022	hg38	ATAC-Seq	ATAC-Seq	Muscle	Skeletal muscle	NA	484467251,84.2,4.2,1	GSM6339602: human muscle stem cells -2  ATAC-seq; Homo sapiens; ATAC-seq	source_name=Skeletal muscle	tissue=Skeletal muscle	cell line=skeltal muscle stem cells	cell type=stem cells	treatment=in culture
SRX16651613	hg38	ATAC-Seq	ATAC-Seq	Blood	Mononuclear cells	NA	49167157,93.5,20.9,10214	GSM6383015: CPY-2 ATACseq; Homo sapiens; ATAC-seq	source_name=Peripheral blood	tissue=Peripheral blood	cell type=Peripheral blood mononuclear cells	genotype=WT	treatment=none
SRX16698814	hg38	ATAC-Seq	ATAC-Seq	Neural	Medulloblastoma	MeSH Description=A malignant neoplasm that may be classified either as a glioma or as a primitive neuroectodermal tumor of childhood (see NEUROECTODERMAL TUMOR, PRIMITIVE). The tumor occurs most frequently in the first decade of life with the most typical location being the cerebellar vermis. Histologic features include a high degree of cellularity, frequent mitotic figures, and a tendency for the cells to organize into sheets or form rosettes. Medulloblastoma have a high propensity to spread throughout the craniospinal intradural axis. (From DeVita et al., Cancer: Principles and Practice of Oncology, 5th ed, pp2060-1)	136008811,91.7,24.2,94435	GSM6407483: Icb1487; Homo sapiens; ATAC-seq	source_name=Medulloblastoma	cell type=Medulloblastoma
SRX16829024	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	TeloHAEC	Tissue=Aorta|Cell Type=Endothelial|Disease=Normal	23800028,98.9,31.2,57679	GSM6431135: TeloHAEC, ctrl, 0.1; Homo sapiens; ATAC-seq	source_name=Vascular	tissue=Vascular	cell line=TeloHAEC	cell type=Endothelial	genotype=parental	treatment=normal growth medium
SRX14937613	hg38	ATAC-Seq	ATAC-Seq	Lung	SAEC	Tissue=epithelium|Lineage=endoderm|Description=small airway epithelial cells	49405953,94.5,13.0,13336	GSM6051710: Sm2-Ctrl1; Homo sapiens; ATAC-seq	source_name=Sm2 small airway epithelial cells	cell type=small airway epithelial cells
SRX17025406	hg38	ATAC-Seq	ATAC-Seq	Liver	Hepatic Stellate Cells	MeSH Description=Hepatic stellate cells that have differentiated into myofibroblast-like cells in response to liver injury.	65045352,98.5,18.1,49771	GSM6443424: FNLN01 01 ATAC; Homo sapiens; ATAC-seq	source_name=Primary Human HSCs	cell line=Primary Human HSCs	cell type=Hepatic Stellate Cells	substrate stiffness=1kPa	ecm compositions=Fibronectin, Laminin	time=72 hours
SRX17029657	hg38	ATAC-Seq	ATAC-Seq	Blood	Leukemic blast cell	NA	25059706,96.5,45.5,52541	GSM6447645: ID216-Blast; Homo sapiens; ATAC-seq	source_name=Leukemic Blast	cell type=Leukemic Blast	genotype=CEBPA double mutant	disease=Acute Myeloid Leukemia
SRX17035413	hg38	ATAC-Seq	ATAC-Seq	Blood	Acute myeloid leukemia	NA	66072357,71.8,50.5,68118	GSM6448782: 2240 ATACseq; Homo sapiens; ATAC-seq	source_name=CD34+ AML cells	cell type=CD34+ AML cells	genotype=CEBPA double mutant	disease=Acute Myeloid Leukemia
SRX17174386	hg38	ATAC-Seq	ATAC-Seq	Neural	Thalamus	MeSH Description=Paired bodies containing mostly GRAY MATTER and forming part of the lateral wall of the THIRD VENTRICLE of the brain.	86713790,91.2,21.4,6830	GSM6502904: BB5 MDT N ATAC; Homo sapiens; ATAC-seq	source_name=Mediodorsal Thalamus	group=neuron	brain region=MDT	tissue=Midbrain	age of_death=34	Sex=male
SRX17243314	hg38	ATAC-Seq	ATAC-Seq	Lung	Lung	MeSH Description=Either of the pair of organs occupying the cavity of the thorax that effect the aeration of the blood.	371110196,0.0,12.1,18464	GSM6509501: SC316 2019-098-CORE; Homo sapiens; ATAC-seq	source_name=Lung	tissue=Lung	age=64	Sex=female	disease status=normal control	patientcorecode=2019-098-CORE
SRX17313989	hg38	ATAC-Seq	ATAC-Seq	Neural	Neural progenitor cells	NA	74873958,54.7,13.3,11109	GSM6519836: NPCs I871I ATAC #3; Homo sapiens; ATAC-seq	source_name=NPCs	cell type=NPCs	genotype=SETBP1 I871I
SRX17443930	hg38	ATAC-Seq	ATAC-Seq	Others	MEFX 2090	NA	144586050,45.8,37.7,80323	GSM6544311: Stress TNP2 biological replicate 1; Homo sapiens; ATAC-seq	source_name=PDX MEFX 2090	cell line=PDX MEFX 2090	genotype=TNP2 KO	stress=glutamine deprivation
SRX17549582	hg38	ATAC-Seq	ATAC-Seq	Kidney	RPTEC	Tissue=epithelium|Description=renal proximal tubule epithelial cells	43044983,92.2,10.2,105870	GSM6577345: RPTEC cells, ATAC, WT, rep3; Homo sapiens; ATAC-seq	source_name=RPTEC	cell line=RPTEC	cell type=Human renal epithelial cells	genotype=WT	geo_loc_name=missing	collection_date=missing
SRX17629257	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC H1	NA	35870414,34.4,49.6,3010	GSM6592074: H1-ATAC-seq-2; Homo sapiens; ATAC-seq	source_name=blastocyst	tissue=blastocyst	cell line=H1	cell type=hESCs	genotype=WT
SRX17717353	hg38	ATAC-Seq	ATAC-Seq	Muscle	LHCN-M2	Tissue=skeletal muscle myoblast|Lineage=mesoderm|Description=skeletal myoblasts derived from satellite cells from the pectoralis major muscle of a 41 year old caucasian heart transplant donor, immortalized with lox-hygro-hTERT ("LH"), and Cdk4-neo ("CN"), Zhu et al. (2007) in Aging Cell, vol. 6, pp 515-523, newly promoted to tier 2: not in 2011 analysis.	106600146,45.3,45.1,40251	GSM6602070: ATAC-seq of LHCN-M2 cells with inducible DUXB treated with doxycycline for 12 hrs replicate 2; Homo sapiens; ATAC-seq	source_name=cell line	tissue=cell line	cell line=LHCN-M2 (PMID: 17559502)	cell type=immortalized human myoblast	lentiviral _transduction=FUGW-rtTA and pSAM2-DUXB	treatment=200 ng/mL doxycycline for 12 hrs
SRX17737823	hg38	ATAC-Seq	ATAC-Seq	Blood	Leukapheresis	MeSH Description=The preparation of leukocyte concentrates with the return of red cells and leukocyte-poor plasma to the donor.	51082782,58.3,16.2,38718	GSM6605054: 49276 DR-1; Homo sapiens; ATAC-seq	source_name=CML patient blood leukapheresis	tissue=CML patient blood leukapheresis	disease state=CML	cell type=Resistant (R) cells	treatment=Treated with imatinib for 8 days
SRX17781249	hg38	ATAC-Seq	ATAC-Seq	Pancreas	Pancreatic islets	NA	31924542,95.6,36.5,66043	GSM6614123: CT24-4 [bulk ATAC-seq]; Homo sapiens; ATAC-seq	source_name=pancreatic islet	tissue=pancreatic islet	genotype=Donor 7	treatment=24 hours post-synchronization
SRX13388689	hg38	ATAC-Seq	ATAC-Seq	Blood	THP-1	Primary Tissue=Blood|Tissue Diagnosis=Leukemia Acute Myelogenous	26838696,85.9,10.7,15559	GSM5729779: ATAC THP1 BRM014-72h rep2; Homo sapiens; ATAC-seq	source_name=THP-1 cells	cell line=THP-1 cells	marker=WT	treatment=BRM014 for 72 h
SRX12776913	hg38	ATAC-Seq	ATAC-Seq	Neural	hTERT RPE-1	Primary Tissue=Eye|Tissue Diagnosis=Normal	65491294,76.3,53.6,25413	GSM5656777: RPE-1 p53KO LMB2OE + Reversine 3; Homo sapiens; ATAC-seq	source_name=Retina (female)	Sex=female	cell type=hTERT-immortalized retinal pigment epithelial cell line	genotype=p53 KO LMB2OE	treatment=Reversine 0.5 uM 48 hours before splitting, long-term	cell line=RPE-1
SRX3644337	hg38	ATAC-Seq	ATAC-Seq	Epidermis	BJ	Primary Tissue=Skin|Tissue Diagnosis=Normal	18886684,99.5,0.6,35752	GSM2977486: BJ ATAC FOXA2 10dExp 12dWD Rep1; Homo sapiens; ATAC-seq	source_name=BJ Fibroblasts	cell line background=BJ-5ta	cell type=immortalized BJ foreskin fibroblast cell line	genotype/variation=FOXA2 doxycycline inducible
SRX2523855	hg38	ATAC-Seq	ATAC-Seq	Blood	Dendritic Cells	MeSH Description=ANTIGEN-PRESENTING CELLS of dendritic cell morphology found in the LYMPH NODES and other lymphoid tissues.	161009283,96.7,25.4,97605	GSM2471246: ATAC-seq from dendritic cell (ENCLB432EGK); Homo sapiens; ATAC-seq	dev stage=unknown	cell type=dendritic cell	treatments=treatment_term_id: CHEBI:16412; treatment_term_name: Lipopolysaccharide; treatment_type: chemical; duration: 2; duration_units: hour;	sex=not collected	sample type=in vitro differentiated cells	donor ID=ENCDO088XVR	age=unknown	lab=Manuel Garber, UMass
SRX2651053	hg38	ATAC-Seq	ATAC-Seq	Blood	CD34+	NA	215320,52.9,13.6,0	GSM2541756: BM1077-GMP-Frozen-160107-12; Homo sapiens; ATAC-seq	source_name=Bone Marrow CD34+	tissue=CD34+ Bone Marrow	cell type=GMP
SRX2662990	hg38	ATAC-Seq	ATAC-Seq	Neural	Inferior temporal cortex	NA	38258785,0.0,0.1,18720	GSM2546436: 351 N ITC; Homo sapiens; ATAC-seq	source_name=inferior temporal cortex	cell type=Neuronal	gender=male	age of death=19	alcohol toxicology=negative	Cause of death=sudden cardiac death
SRX2708626	hg38	ATAC-Seq	ATAC-Seq	Neural	Forebrain neurons	NA	51647330,89.5,29.1,27051	GSM2564031: Tau rep1 b2; Homo sapiens; ATAC-seq	source_name=forebrain neurons_Tau	tissue/cell type=Forebrain neurons	overexpression=MAPT	treatment=Untreated	batch=Batch 2	number of read pairs=26782866
SRX2708800	hg38	ATAC-Seq	ATAC-Seq	Liver	Hep G2	Primary Tissue=Liver|Tissue Diagnosis=Carcinoma Hepatocellular	45053384,86.8,48.9,4657	GSM2564061: ATACseq on NTG replicate A; Homo sapiens; ATAC-seq	source_name=HepG2_NTG	cell line=HepG2	cell type=liver cancer cell line	sirna=NTG (AM4611 Life Tech.)
SRX2733845	hg38	ATAC-Seq	ATAC-Seq	Epidermis	WM989	NA	53425450,97.1,92.2,11862	GSM2575298: mix-p14-noDrug-v2 ATAC-seq; Homo sapiens; ATAC-seq	source_name=WM989 cell line	drug tx=no drug	population=mix	cell line=WM989	cell type=melanoma
SRX2947611	hg38	ATAC-Seq	ATAC-Seq	Blood	Macrophages	MeSH Description=The relatively long-lived phagocytic cell of mammalian tissues that are derived from blood MONOCYTES. Main types are PERITONEAL MACROPHAGES; ALVEOLAR MACROPHAGES; HISTIOCYTES; KUPFFER CELLS of the liver; and OSTEOCLASTS. They may further differentiate within chronic inflammatory lesions to EPITHELIOID CELLS or may fuse to form FOREIGN BODY GIANT CELLS or LANGHANS GIANT CELLS. (from The Dictionary of Cell Biology, Lackie and Dow, 3rd ed.)	128443066,90.1,61.9,52101	GSM2679869: ATAC N rep5; Homo sapiens; ATAC-seq	source_name=Primary human monocyte-derived macrophages	tissue=peripheral blood	cell type=monocytes
SRX2980141	hg38	ATAC-Seq	ATAC-Seq	Lung	PC-9	Primary Tissue=Lung|Tissue Diagnosis=Adenocarcinoma	40836109,98.9,56.5,20539	GSM2692576: 6c: ALDH High Erl OCSA ATAC-seq; Homo sapiens; ATAC-seq	source_name=NSCLC	cell line=PC9	treatment=12 hour 1 μM erlotinib
SRX2993563	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC UCLA1	NA	29214922,91.4,33.9,9389	GSM2698926: TFAP2C-/- Line 2 5d 5iLAF treatment ATAC [ATAC-Seq]; Homo sapiens; ATAC-seq	source_name=TFAP2C knockout line 2 UCLA hESCs cultured for 5 days	cell type=TFAP2C knockout line 2 UCLA hESCs cultured for 5 days	passage number=p30	library type=Nextera ATAC-seq
SRX3013845	hg38	ATAC-Seq	ATAC-Seq	Embryo	2-cell stage	NA	56819768,69.3,58.8,277	GSM2706219: Human 2-cell ATAC-Seq re1; Homo sapiens; ATAC-seq	source_name=Preimplantation embryo	developmental stage=2-cell
SRX3046140	hg38	ATAC-Seq	ATAC-Seq	Others	GM02171	NA	32163630,74.8,1.9,10848	GSM2722105: ATAC miNs D10 B; Homo sapiens; ATAC-seq	source_name=Human adult fibroblasts	cell line=GM02171	cell type=adult fibroblasts	treatment=miR-9/9*-124	timepoint=d10
SRX3167000	hg38	ATAC-Seq	ATAC-Seq	Lung	IMR-90	Primary Tissue=Lung|Tissue Diagnosis=Normal	39641796,88.2,2.1,54863	GSM2774973: ATAC RIS Rep2; Homo sapiens; ATAC-seq	source_name=IMR90	vector 1=ER:HRAS(G12V)	vector 2=None	4oht=Yes	passage=23-28
SRX3291972	hg38	ATAC-Seq	ATAC-Seq	Adipocyte	Adipose-Derived Mesenchymal Stem Cells	NA	15854847,96.8,11.4,44048	GSM2817565: ASC-young-2; Homo sapiens; ATAC-seq	source_name=primary cells	cell type=Adipose derived stem cells	passages=&lt;7	tissue=Adipose
SRX5195752	hg38	ATAC-Seq	ATAC-Seq	Uterus	Endometrial epithelial cells	NA	19994366,88.7,35.0,11097	GSM3537188: ATAC-Seq: ARID1A-KO2 rep3; Homo sapiens; ATAC-seq	source_name=endometrial epithelial cells	cell type=endometrial epithelial cells	genotype=ARID1A KO	biological replicate=2	technical replicate=3
SRX3401285	hg38	ATAC-Seq	ATAC-Seq	Breast	T-47D	Primary Tissue=Breast|Tissue Diagnosis=Adenocarcinoma Ductal	21673975,67.4,25.1,346	GSM2859809: siCtrl rep1; Homo sapiens; ATAC-seq	source_name=T47D	cell line=T47D	cell type=breast cancer cell line	construct/sirna=siCtrl	induction by=None	replicate=Rep1
SRX3405139	hg38	ATAC-Seq	ATAC-Seq	Blood	OCI-AML2	Primary Tissue=Blood|Tissue Diagnosis=Leukemia Acute Myelogenous	36626292,88.8,34.0,1995	GSM2860586: MEF2C WT control induced 3; Homo sapiens; ATAC-seq	source_name=OCI-AML2	cell line=OCI-AML2	cell type=acute myeloid leukemia cell line	treatment=doxycycline
SRX3407597	hg38	ATAC-Seq	ATAC-Seq	Kidney	hTERT-HME1	Primary Tissue=Breast|Tissue Diagnosis=Normal	41976783,26.1,3.0,566	GSM2861488: siB2-1 comp A; Homo sapiens; ATAC-seq	source_name=hTert-HME1 cell line	tissue=hTert-HME1 cell line	sirna=BRCA2-1	media=+EGF (complete)	passages=6	biological replicate=A
SRX3454243	hg38	ATAC-Seq	ATAC-Seq	Blood	Jurkat	Primary Tissue=Blood|Tissue Diagnosis=Leukemia Acute Lymphocytic	8995,46.0,16.4,0	GSM2879944: Jurkat single cell 301; Homo sapiens; ATAC-seq	source_name=Jurkat T cells	cell line=Jurkat	cell type=single Jurkat T cell	gender=male
SRX3481053	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC derived ectodermal cells	NA	120338315,76.6,51.7,60401	GSM2893676: AP2Cd7On 2; Homo sapiens; ATAC-seq	source_name=early surface ectoderm differentiation from hESC	originating cell line=H9	cell type=surface ectoderm progenitor cells	genotype/variation=TetO-TFAP2C	treatment and stage=Dox+ for 7 days
SRX3485305	hg38	ATAC-Seq	ATAC-Seq	Bone	Knee articular cartilage	NA	63765537,90.3,28.1,25293	GSM2895191: 7.oLT; Homo sapiens; ATAC-seq	source_name=Human knee articular cartilage	tissue=catilage	cell type=chondrocyte	oa stage=normal	tissue type=fresh
SRX3503134	hg38	ATAC-Seq	ATAC-Seq	Blood	HAP1	NA	49431521,64.5,24.9,11943	GSM2897103: ATAC-seq HAP1 ARID2 r1 907 9; Homo sapiens; ATAC-seq	source_name=HAP1 cell line	library=ATAC-seq	cell line=HAP1	replicate=1	clone=9-907	knockout=ARID2
SRX3587658	hg38	ATAC-Seq	ATAC-Seq	Kidney	G-401	Primary Tissue=Kidney|Tissue Diagnosis=Wilms' tumor	99659035,78.8,37.7,1034	GSM2937021: ATAC-seq OMOMYC rep1; Homo sapiens; ATAC-seq	source_name=MRT cells	transfection=OMOMYC	cell line=G401	passage=ten-thirty
SRX3602805	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	AC16	NA	54908818,93.5,61.7,11544	GSM2949333: AC16 ATACseq; Homo sapiens; ATAC-seq	source_name=AC16	cell line=AC16
SRX3630078	hg38	ATAC-Seq	ATAC-Seq	Muscle	Myoblasts	MeSH Description=Embryonic (precursor) cells of the myogenic lineage that develop from the MESODERM. They undergo proliferation, migrate to their various sites, and then differentiate into the appropriate form of myocytes (MYOCYTES, SKELETAL; MYOCYTES, CARDIAC; MYOCYTES, SMOOTH MUSCLE).	13255166,98.6,31.1,3476	GSM2970942: bulk ATAC 54-1 Day 0 MeisKO guide 6; Homo sapiens; ATAC-seq	source_name=54-1	cell type=Immortalized skeletal muscle myoblasts	crispr perturbation target=Meis1 knockout	crispr guide=Meis1 knockout 6	time=Day 0
SRX3636852	hg38	ATAC-Seq	ATAC-Seq	Blood	ALL xenograft	NA	114438704,43.3,29.8,11761	GSM2974390: ALL11 Dex ATAC; Homo sapiens; ATAC-seq	source_name=ALL xenograft cells	tissue=ALL xenograft cells	xenograft id=ALL11	treatment=Dex
SRX5245799	hg38	ATAC-Seq	ATAC-Seq	Adipocyte	SGBS	NA	37550467,89.9,26.0,63135	GSM3561196: SGBS preadipocyte rep2; Homo sapiens; ATAC-seq	source_name=preadipocyte	cell type=SGBS preadipocyte	number cells=50,000
SRX3907972	hg38	ATAC-Seq	ATAC-Seq	Others	Metastatic cells	NA	35054901,97.2,45.9,6596	GSM3089880: Brx68 bonejaw mets 2 1; Homo sapiens; ATAC-seq	source_name=bone	cell line=Brx68	metastatic site=bone	grown_in_culture=yes	dissociation_protocol=bonedisso	generation=1
SRX5133531	hg38	ATAC-Seq	ATAC-Seq	Blood	JK-1	Primary Tissue=Blood|Tissue Diagnosis=Leukemia Chronic Myelogenous	8881722,97.6,85.7,6	GSM3515255: JK1A-23; Homo sapiens; ATAC-seq	source_name=JK1	cell type=JK1
SRX3994932	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	Coronary artery smooth muscle	NA	43019505,67.3,7.8,1051	GSM3111022: 2356 [ATAC-seq]; Homo sapiens; ATAC-seq	source_name=coronary artery smooth muscle cell	sample type=cell culture	cell line=2356
SRX4047339	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	Differentiated hESCs	NA	97644389,89.9,25.6,47558	GSM3132747: ATAC-seq PP1-FOXA2 KO1; Homo sapiens; ATAC-seq	source_name=ES-derived progenitors	tissue=ES-derived progenitors	differentiation stage=Pancreatic Progenitors 1	genotype=FOXA2 -/-
SRX4080271	hg38	ATAC-Seq	ATAC-Seq	Prostate	RWPE-1	Primary Tissue=Prostate|Tissue Diagnosis=Normal	13139571,0.0,2.2,6365	GSM3140953: Schlap1 Replicate B; Homo sapiens; ATAC-seq	source_name=RWPE1 Prosate Cells	cell line=RWPE1	tissue=Prosate
SRX4120230	hg38	ATAC-Seq	ATAC-Seq	Lung	NCI-H69	Primary Tissue=Lung|Tissue Diagnosis=Carcinoma Small Cell	42488679,80.5,12.3,40015	GSM3152054: H69-replicate3; Homo sapiens; ATAC-seq	source_name=Small Cell Lung Cancer	tissue=Small Cell Lung Cancer	cell type=NCI-H69	passages=12-15	experimental conditions=Basal conditions 48h
